,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"[168.785, 3.0, 153.635, 5.0, 155.529, 5.0, 166.891, 1.0]",23.572287038913153,25.315811518963322,21.599472571818303,22.320445949997698,52.67744783437671,26.266412695885567,26.121140865389695,23.17729124721818,26.67212548135351,23.733261828989505,22.00680474144367,19.585576403808563,27.77171771125743,25.116150091769235,21.832661090193874,21.21432363410431
"[168.785, 5.0, 153.635, 3.0, 155.529, 1.0, 166.891, 3.0]",29.426813612099288,33.14131130447362,26.874903299266123,26.02637945168403,29.115729817393518,28.903433660555287,47.55028243106623,28.089635705517857,29.469686589694025,29.884724044333012,27.007858463650745,30.405263778636826,29.54647876979027,31.48494486048494,29.07814235525487,25.51941605116688
"[0.0, 5.0, 0.0, 3.0, 0.0, 1.0, 0.0, 3.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[168.785, 3.0, 153.635, 1.0, 155.529, 3.0, 166.891, 5.0]",52.90720671897391,27.439370092767042,29.231994307676562,30.264468981789776,26.74244708471928,24.509597250926433,24.089179432882577,25.964576724931927,29.4769930539175,28.373751751927013,33.96459067826775,31.794470296921215,26.977923914599536,28.065729950158328,24.922824961549942,29.170458354434132
"[168.785, 1.0, 153.635, 5.0, 155.529, 3.0, 166.891, 5.0]",19.99253978497402,27.75157601027272,25.55270581158542,24.803028030806633,30.693907201595817,27.874804248527465,25.38572114019956,25.48302976111564,23.194322172925894,20.598074658308327,44.79068642149869,19.850630030962837,20.898158273706976,22.18037058004429,21.925419530062268,22.28052570402186
"[168.785, 3.0, 153.635, 1.0, 155.529, 5.0, 166.891, 1.0]",25.70127333372995,47.23007358279488,26.193085188033194,18.47091184263784,23.09054607876714,22.16892614939808,20.30722708978007,20.961014871293557,26.44613073286463,25.661232738596482,25.89235681716859,20.02362689054654,22.64989654640592,18.524174435638038,17.14858917387517,24.453166544006592
"[168.785, 1.0, 153.635, 3.0, 155.529, 1.0, 166.891, 1.0]",27.568319570858993,23.957724835116384,19.663451317840543,47.47492411172118,29.570617520770227,20.859822373664844,20.725274417209945,26.71811542497349,23.341067971537022,22.99593163510889,21.203502480639678,22.04796906406977,23.5911679569125,24.739489310363496,20.099770088868517,24.03183857850415
"[0.0, 5.0, 0.0, 1.0, 0.0, 1.0, 0.0, 5.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[168.785, 5.0, 153.635, 5.0, 155.529, 1.0, 166.891, 1.0]",20.033214407959186,17.879120093052105,16.378845492518074,19.12693608613815,21.14128577332481,19.106510378312166,46.91022349481764,18.909643216897727,18.283515766665023,17.867592197472394,17.75850005828072,20.126034934237026,23.912834503378306,21.666448880582923,19.676241721458034,19.38293599296707
"[168.785, 5.0, 153.635, 5.0, 155.529, 3.0, 166.891, 1.0]",27.9113346360551,20.62300336376138,25.33872924252559,23.314877165683445,22.921657882759714,20.450451547507047,27.705883627912797,24.916963083483605,23.85170248787171,22.75780719328551,21.673410698589635,26.243302050218364,52.79087011911403,18.8843291229464,24.45806745314295,23.803984158580846
"[168.785, 5.0, 153.635, 1.0, 155.529, 5.0, 166.891, 1.0]",54.064036769407224,19.41396884818286,24.383944329100437,18.826548854885086,16.58600911207011,16.337522317450286,19.03934814843694,17.70805946752498,19.346276200498107,17.6511681604086,20.95031704424329,18.18053144138948,18.711127327768395,19.445245814865224,23.011926367299072,17.488366778999154
"[168.785, 1.0, 153.635, 3.0, 155.529, 1.0, 166.891, 5.0]",24.188141565726585,27.478864308828797,22.961762708017904,19.80424231222883,25.930129257961433,22.427079530854975,23.45539018003059,23.36544422296725,20.09542363268328,17.052131055716288,22.56058430437947,23.790048389606483,26.450055683546474,20.762331400595563,23.14674217092973,46.6383974142603
"[168.785, 3.0, 153.635, 5.0, 155.529, 1.0, 166.891, 3.0]",32.81028568031008,29.7585372224928,47.55324342904466,26.114935783201965,28.596496701394905,32.9083593356178,26.125546745251793,21.860381873405387,35.6476302319035,30.633785610369305,26.184339975309204,22.551184531899267,26.69756049966711,30.017680732512925,27.12454680222355,29.134544323811497
"[0.0, 3.0, 0.0, 5.0, 0.0, 1.0, 0.0, 3.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[168.785, 1.0, 153.635, 1.0, 155.529, 3.0, 166.891, 1.0]",28.636899175067576,22.762279978614494,24.305953375296895,23.75458465539948,20.369013626231787,22.531335040533417,23.05222570695584,21.846869695170177,26.19528089571969,21.501152509448072,24.65189280274457,27.722462256545235,24.82996919925472,23.677781498947958,47.5466011518394,19.134797779736875
"[168.785, 1.0, 153.635, 1.0, 155.529, 3.0, 166.891, 5.0]",29.410539674774594,28.619156934660747,24.323721671848727,23.772805684213296,22.443554349555537,23.65844080812896,20.35017598323504,22.604243231284965,22.376460103432308,46.2169193045132,21.95592499643308,24.519108014291763,23.819772896427857,19.20185195497985,20.378829860512013,22.354200156542984
"[0.0, 1.0, 0.0, 1.0, 0.0, 3.0, 0.0, 3.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[168.785, 5.0, 153.635, 5.0, 155.529, 5.0, 166.891, 5.0]",22.45187558148614,19.654638307451368,23.757327481793933,23.06484245832854,16.95309626411689,19.720173696182293,19.211439974155173,22.63720145476326,53.007024467247774,20.46988744545696,21.030302430193863,19.409721916758553,19.377995770660245,20.098973533577524,22.73694541418577,21.155235905374568
